AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202304,PF,PJ,Nao informado,SUDESTE,entre 40 e 49 anos,Nao se aplica,MANU,P2B,Pix,4300883.12,1482
202309,PF,PF,NORDESTE,NORTE,entre 40 e 49 anos,mais de 60 anos,QRES,P2P,Pix,286355.69,8191
202310,PF,PF,SUL,SUL,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,670537.87,2795
202508,PF,PF,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 50 e 59 anos,QRES,P2P,Pix,987066.99,29923
202307,PF,PF,NORDESTE,NORDESTE,até 19 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,587732.12,5758
202411,PJ,PJ,NORDESTE,SUDESTE,Nao se aplica,Nao se aplica,QRDN,B2B,Pix,1036254611.36,2353173
202305,PF,PF,NORTE,SUDESTE,mais de 60 anos,entre 40 e 49 anos,QRES,P2P,Pix,93828.96,887
202305,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 40 e 49 anos,entre 40 e 49 anos,MANU,P2P,Pix,1304346323.02,2383859
202408,PF,PF,SUDESTE,Nao informado,entre 50 e 59 anos,entre 40 e 49 anos,Nao disponivel,P2P,Nao disponivel,2489.7,12
202409,PF,PF,CENTRO-OESTE,Nao informado,mais de 60 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,390.0,2
202312,PF,PF,NORTE,SUDESTE,entre 50 e 59 anos,entre 30 e 39 anos,MANU,P2P,Pix,3064442.35,16003
202505,PJ,PF,CENTRO-OESTE,Nao informado,Nao se aplica,entre 20 e 29 anos,QRES,B2P,Pix,64807.25,122
202309,PF,PF,Nao informado,Nao informado,mais de 60 anos,mais de 60 anos,QRDN,P2P,Pix,1200.0,2
202501,PF,PF,SUL,SUL,entre 30 e 39 anos,entre 50 e 59 anos,DICT,P2P,Pix,1120769817.04,3602912
202308,PF,PF,NORTE,NORDESTE,entre 40 e 49 anos,entre 30 e 39 anos,QRDN,P2P,Pix,589392.56,17897
202402,PJ,PF,NORTE,NORDESTE,Nao se aplica,entre 20 e 29 anos,MANU,G2P,Pix,7850.0,2
202503,PF,PF,SUL,NORTE,entre 50 e 59 anos,mais de 60 anos,DICT,P2P,Pix,5342012.28,9215
202402,PF,PF,CENTRO-OESTE,SUL,entre 20 e 29 anos,até 19 anos,DICT,P2P,Pix,1388220.73,14876
202410,PF,PF,CENTRO-OESTE,SUL,mais de 60 anos,entre 40 e 49 anos,MANU,P2P,Pix,2087111.77,2677
202307,PJ,PF,CENTRO-OESTE,CENTRO-OESTE,Nao se aplica,até 19 anos,QRDN,B2P,Pix,139660.86,1425
202310,PF,PJ,NORDESTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,DICT,P2B,Pix,98901145.05,208671
202501,PJ,PF,NORTE,NORDESTE,Nao se aplica,entre 40 e 49 anos,QRES,B2P,Pix,982154.46,8912
202403,PF,PF,Nao informado,SUDESTE,até 19 anos,entre 20 e 29 anos,QRES,P2P,Pix,1820.27,65
202308,PF,PJ,NORDESTE,NORDESTE,até 19 anos,Nao se aplica,QRES,P2G,Pix,14285.22,362
202307,PF,PF,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,mais de 60 anos,QRES,P2P,Pix,204175.75,5368
202412,PF,PJ,NORDESTE,NORDESTE,entre 20 e 29 anos,Nao se aplica,Nao disponivel,P2G,Nao disponivel,21887.93,17
202309,PJ,PF,CENTRO-OESTE,NORDESTE,Nao se aplica,entre 20 e 29 anos,MANU,B2P,Pix,12514959.52,20984
202505,PF,PF,NORDESTE,NORTE,entre 20 e 29 anos,entre 50 e 59 anos,MANU,P2P,Pix,3718328.14,28351
202505,PF,PF,SUDESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 50 e 59 anos,QRES,P2P,Pix,760419.11,10787
202308,PF,PF,CENTRO-OESTE,NORDESTE,entre 30 e 39 anos,até 19 anos,DICT,P2P,Pix,7068767.16,70429
202508,PF,PF,NORDESTE,NORDESTE,mais de 60 anos,entre 40 e 49 anos,MANU,P2P,Pix,238435021.54,1103085
202306,PF,PJ,SUDESTE,SUDESTE,até 19 anos,Nao se aplica,MANU,P2B,Pix,31675357.69,323590
202504,PF,PF,Nao informado,SUL,entre 30 e 39 anos,mais de 60 anos,DICT,P2P,Pix,2340967.28,2988
202408,PF,PF,SUDESTE,NORDESTE,entre 50 e 59 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,102963.72,212
202411,PJ,PJ,Nao informado,CENTRO-OESTE,Nao se aplica,Nao se aplica,QRDN,B2G,Pix,589224.15,683
202410,PF,PF,Nao informado,SUDESTE,entre 30 e 39 anos,entre 40 e 49 anos,QRES,P2P,Pix,157846.02,1695
202408,PJ,PF,Nao informado,Nao informado,Nao se aplica,entre 50 e 59 anos,DICT,B2P,Pix,84443.96,171
202503,PF,PF,NORDESTE,NORTE,mais de 60 anos,entre 30 e 39 anos,QRES,P2P,Pix,256519.19,4480
202505,PF,PJ,SUL,SUL,entre 20 e 29 anos,Nao se aplica,INIC,P2B,Pix,52227.28,269
202306,PF,PF,NORTE,NORTE,entre 20 e 29 anos,entre 20 e 29 anos,QRES,P2P,Pix,62674790.1,747453
202503,PJ,PJ,CENTRO-OESTE,SUL,Nao se aplica,Nao se aplica,MANU,B2B,Pix,850873501.39,27184
202410,PF,PF,NORDESTE,NORTE,entre 30 e 39 anos,entre 40 e 49 anos,DICT,P2P,Pix,67985774.41,276323
202505,PJ,PF,CENTRO-OESTE,NORTE,Nao se aplica,entre 50 e 59 anos,DICT,G2P,Pix,63375563.62,33697
202408,PF,PF,Nao informado,SUDESTE,entre 40 e 49 anos,entre 40 e 49 anos,DICT,P2P,Pix,12983383.43,15056
202311,PF,PJ,SUDESTE,CENTRO-OESTE,entre 30 e 39 anos,Nao se aplica,QRDN,P2B,Pix Troco,1675.75,6
202309,PF,PF,NORDESTE,CENTRO-OESTE,entre 30 e 39 anos,entre 20 e 29 anos,QRDN,P2P,Pix,559664.36,16771
202304,PF,PF,Nao informado,Nao informado,entre 40 e 49 anos,entre 50 e 59 anos,MANU,P2P,Pix,167461.86,172
202412,PJ,PJ,CENTRO-OESTE,CENTRO-OESTE,Nao se aplica,Nao se aplica,DICT,B2B,Pix,27116097716.28,4722523
202308,PF,PF,NORDESTE,Nao informado,até 19 anos,entre 50 e 59 anos,DICT,P2P,Pix,23618.9,402
202502,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 20 e 29 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,1561292.05,2893
202404,PF,PF,NORDESTE,CENTRO-OESTE,entre 40 e 49 anos,entre 50 e 59 anos,DICT,P2P,Pix,33100970.02,127680
202407,PF,PJ,NORTE,SUL,entre 50 e 59 anos,Nao se aplica,QRES,P2B,Pix Saque,747.75,7
202508,PJ,PF,NORTE,NORTE,Nao se aplica,entre 50 e 59 anos,QRDN,B2P,Pix,5299341.12,102576
202408,PF,PF,NORDESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 40 e 49 anos,MANU,P2P,Pix,4010323.09,19671
202410,PF,PF,NORTE,NORTE,Nao informado,entre 50 e 59 anos,DICT,P2P,Pix,4856.5,30
