AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202507,2106375,MARANHÃOZINHO,21,MARANHÃO,NE,NORDESTE,31559854.98,250745,11207173.49,6730,28646161.73,153105,8660407.59,32590,5651,114,5414,110
202406,5201207,ANHANGUERA,52,GOIÁS,CO,CENTRO-OESTE,2385123.83,17204,379883.03,615,2388449.96,10675,299006.72,1413,540,25,542,23
202504,2600401,ÁGUA PRETA,26,PERNAMBUCO,NE,NORDESTE,59198697.06,536869,5462633.71,7147,56738869.31,340284,5535513.35,37164,14695,240,14710,219
202508,5218706,RIANÁPOLIS,52,GOIÁS,CO,CENTRO-OESTE,27576503.95,106395,9976162.61,6686,26301002.19,68797,12378999.27,19625,2775,199,2771,188
202312,3508207,BURITIZAL,35,SÃO PAULO,SE,SUDESTE,12827813.22,54605,8015717.07,5311,16047847.75,31383,13040713.16,11854,2268,247,2220,237
202409,5008305,TRÊS LAGOAS,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,582508198.44,2991372,590063781.01,285220,584258637.63,1741638,515280898.32,1292098,87083,6898,85893,6439
202406,3304557,RIO DE JANEIRO,33,RIO DE JANEIRO,SE,SUDESTE,28940864743.61,154802212,74924224956.98,12565369,29142044166.66,106910844,65034076300.3,60266326,4588925,319365,4510079,296984
202311,2210904,SOCORRO DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,7186885.89,60916,878578.5,790,6472438.11,36156,1158278.92,2342,2130,40,2168,34
202405,2310407,PARAMOTI,23,CEARÁ,NE,NORDESTE,21513157.97,199754,2417733.39,3099,20497821.46,137727,1987493.7,15015,5639,117,5474,116
202403,5107800,SANTO ANTÔNIO DO LEVERGER,51,MATO GROSSO,CO,CENTRO-OESTE,39734996.36,316371,26406976.58,14668,41125626.72,187169,19684783.49,31729,8231,505,8095,472
202310,3107406,BOM DESPACHO,31,MINAS GERAIS,SE,SUDESTE,137321947.91,575227,57923844.55,41979,138106573.22,388197,62984564.88,115886,27060,2297,26549,2168
202312,2906600,CANDIBA,29,BAHIA,NE,NORDESTE,21842275.94,145221,7592468.35,4116,22175920.76,85830,7226634.67,314961,5317,195,5089,192
202502,3525003,JANDIRA,35,SÃO PAULO,SE,SUDESTE,508180225.4,2964971,555049252.69,188126,524251832.83,1797314,645602337.24,450648,88490,5640,87780,5324
202312,5221908,VARJÃO,52,GOIÁS,CO,CENTRO-OESTE,11570270.82,45471,2014025.79,1818,12432919.42,34307,1250498.1,4149,1776,75,1852,62
202305,2805703,PROPRIÁ,28,SERGIPE,NE,NORDESTE,53810566.77,316285,25095700.59,16597,53775167.26,248196,23855802.89,54310,13372,564,13836,525
202504,2208601,PRATA DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,6343316.04,67832,658429.53,1281,5863090.9,40129,731828.82,5431,1743,50,1687,50
202310,3120904,CURVELO,31,MINAS GERAIS,SE,SUDESTE,235113121.61,1079092,149635230.04,83957,246204980.63,759412,126564934.39,195491,43664,3351,44441,3114
202412,2106003,LIMA CAMPOS,21,MARANHÃO,NE,NORDESTE,32273177.44,260107,10406957.55,9439,31269160.88,177704,8665015.03,32786,6555,216,6350,210
202404,2905008,CACULÉ,29,BAHIA,NE,NORDESTE,47893769.99,287309,45908924.35,22938,46927782.76,189771,46615579.76,149627,10360,831,10253,765
202407,3145109,NOVA RESENDE,31,MINAS GERAIS,SE,SUDESTE,65816478.64,173879,30689485.11,10046,62936179.45,104623,41768203.44,42091,7829,577,7371,549
202505,3542305,REDENÇÃO DA SERRA,35,SÃO PAULO,SE,SUDESTE,8974076.13,62315,3934743.86,3680,9427120.61,41606,3689135.51,7219,2170,130,2115,120
202409,4318457,SÃO JOSÉ DAS MISSÕES,43,RIO GRANDE DO SUL,SU,SUL,4230101.41,19493,1462280.72,1013,3514310.83,10735,1403611.7,3181,1051,63,976,65
202503,1707405,ESPERANTINA,17,TOCANTINS,NO,NORTE,23071943.17,167484,2759742.71,6936,21374080.48,103213,2367875.49,17801,4700,128,4630,120
202410,3132404,ITAJUBÁ,31,MINAS GERAIS,SE,SUDESTE,325300592.85,1544811,349208216.66,157294,341309820.4,1022796,344723984.57,376042,59488,5666,58576,5213
202406,2704708,MARECHAL DEODORO,27,ALAGOAS,NE,NORDESTE,175539970.93,1235657,68271475.5,61333,171464464.45,777164,117354026.4,176951,31994,1736,32054,1556
202505,5214705,NOVA AMÉRICA,52,GOIÁS,CO,CENTRO-OESTE,9036915.41,34513,2308071.16,2268,8406017.32,19984,1679245.19,8447,1219,81,1259,73
202509,2701506,CAMPO GRANDE,27,ALAGOAS,NE,NORDESTE,4946737.61,24040,393127.54,463,4479372.49,16635,441247.59,1587,3711,70,3146,64
202406,1504406,MARAPANIM,15,PARÁ,NO,NORTE,42019568.3,439732,6035659.94,8057,38960946.43,305142,4503302.59,27546,12688,209,12510,189
202506,2209856,SÃO JOÃO DA CANABRAVA,22,PIAUÍ,NE,NORDESTE,9742549.26,71935,613182.38,608,8831449.0,46154,487111.6,4929,2209,42,2101,41
202402,2706208,PALESTINA,27,ALAGOAS,NE,NORDESTE,8069460.85,68497,367709.83,704,7626760.72,41658,1142778.63,2856,2185,27,2174,30
