AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202209,2204709,INHUMA,22,PIAUÍ,NE,NORDESTE,11796540.84,65362,2798382.76,1715,11616725.31,51722,3023230.29,4850,4286,123,4501,114
202404,2303402,CARNAUBAL,23,CEARÁ,NE,NORDESTE,25588675.35,182067,4242044.01,5909,24199866.8,124837,4087284.22,63907,7167,233,7046,209
202309,3136900,JURUAIA,31,MINAS GERAIS,SE,SUDESTE,21380088.0,68040,17766240.26,14276,24402218.43,47084,16467512.77,28989,4564,668,4412,635
202203,3306008,TRÊS RIOS,33,RIO DE JANEIRO,SE,SUDESTE,92335202.35,379170,85979236.13,34328,96882557.94,337036,103013075.36,63843,30808,2386,32063,2371
202204,2204709,INHUMA,22,PIAUÍ,NE,NORDESTE,8375024.89,43846,1277491.06,1144,8391441.59,37338,1371786.77,2632,3471,113,3734,107
202309,3113800,CARMÉSIA,31,MINAS GERAIS,SE,SUDESTE,4419326.52,23155,2986171.4,790,4379627.24,16456,2372214.45,2265,1182,60,1179,55
202110,2931103,TANQUINHO,29,BAHIA,NE,NORDESTE,4283463.61,26407,538715.77,941,4516231.95,26035,538421.71,1377,2197,71,2326,56
202303,2906501,CANDEIAS,29,BAHIA,NE,NORDESTE,201607709.69,1352572,79807846.95,50919,198699797.19,1121532,95608903.23,112622,48829,1614,49756,1509
202105,4323200,VICTOR GRAEFF,43,RIO GRANDE DO SUL,SU,SUL,2014825.19,4010,966511.99,571,1567414.42,2897,1091840.65,792,740,67,588,80
202302,1502954,ELDORADO DO CARAJÁS,15,PARÁ,NO,NORTE,62693714.22,282264,42666563.54,15883,63527446.43,224453,39539660.73,54191,13329,416,13283,417
